# Format is:
# name, path, locationX, locationY, locationZ, scale, rotationX, rotationY, rotationZ, rotationW

# Objewwwcts
"DMC Bridge", "Models/objects/bridge/bridge.obj", 43.5f, 6.5f, 71.2f, 0.40f, 0f, 0.43f, 0f, 0.9260f
"Car 101", "Models/vehicles/car_blue/car.obj",62.249786f,12.2f,-34.949764f,0.3f,0.0f,0.08787441f,0.0f,0.99613154f
"Car 102", "Models/vehicles/car_silver/car.obj",61.849792f,12.2f,-43.249638f,0.3f,0.0f,0.9946239f,0.0f,-0.10355363f
"Van 17", "Models/vehicles/van_blue/van.obj",58.549843f,12.2f,-42.749645f,0.3f,0.0f,0.9946239f,0.0f,-0.10355363f
"Car 103", "Models/vehicles/car_red/car.obj",55.199894f,12.2f,-42.149654f,0.3f,0.0f,0.9946239f,0.0f,-0.10355363f
"Van 18", "Models/vehicles/van_red/van.obj",53.799915f,12.2f,-42.149654f,0.3f,0.0f,0.9946239f,0.0f,-0.10355363f
"Car 104", "Models/vehicles/car_silver/car.obj",50.699963f,12.2f,-41.69966f,0.3f,0.0f,0.9946239f,0.0f,-0.10355363f
"Car 105", "Models/vehicles/car_yellow/car.obj",31.050262f,12.2f,-28.349863f,0.3f,0.0f,-0.6232441f,0.0f,0.78202736f
"Car 106", "Models/vehicles/car_red/car.obj",30.000278f,12.2f,-31.699812f,0.3f,0.0f,-0.6232441f,0.0f,0.78202736f
"Van 19", "Models/vehicles/van_silver/van.obj",29.350288f,12.2f,-34.299774f,0.3f,0.0f,-0.6232441f,0.0f,0.78202736f
"Car 107", "Models/vehicles/car_blue/car.obj",28.900295f,12.2f,-36.699738f,0.3f,0.0f,-0.6232441f,0.0f,0.78202736f
"Car 108", "Models/vehicles/car_silver/car.obj",27.90031f,12.2f,-41.399666f,0.3f,0.0f,-0.6232441f,0.0f,0.78202736f
"Van 20", "Models/vehicles/van_yellow/van.obj",27.400318f,12.2f,-44.44962f,0.3f,0.0f,-0.6232441f,0.0f,0.78202736f
"Van 21", "Models/vehicles/van_blue/van.obj",31.700253f,12.2f,-50.099533f,0.3f,0.0f,0.7825137f,0.0f,0.6226336f
"Car 109", "Models/vehicles/car_red/car.obj",32.700237f,12.2f,-47.299576f,0.3f,0.0f,0.7825137f,0.0f,0.6226336f
"Car 110", "Models/vehicles/car_yellow/car.obj",33.30023f,12.2f,-44.149624f,0.3f,0.0f,0.7825137f,0.0f,0.6226336f
"Van 22", "Models/vehicles/van_red/van.obj",34.750206f,12.2f,-36.899734f,0.3f,0.0f,0.7825137f,0.0f,0.6226336f
"Car 111", "Models/vehicles/car_blue/car.obj",35.500195f,12.2f,-33.099792f,0.3f,0.0f,0.7825137f,0.0f,0.6226336f
"Van 23", "Models/vehicles/van_silver/van.obj",36.200184f,12.2f,-29.899841f,0.3f,0.0f,0.7825137f,0.0f,0.6226336f
"Car 112", "Models/vehicles/car_silver/car.obj",36.650177f,12.2f,-27.549877f,0.3f,0.0f,0.7825137f,0.0f,0.6226336f
"Car 113", "Models/vehicles/car_red/car.obj",46.750023f,12.2f,-76.65009f,0.3f,0.0f,0.77987f,0.0f,0.62594163f
"Car 114", "Models/vehicles/car_yellow/car.obj",47.400013f,12.2f,-73.94993f,0.3f,0.0f,0.77987f,0.0f,0.62594163f
"Car 115", "Models/vehicles/car_blue/car.obj",48.399998f,12.2f,-68.799614f,0.3f,0.0f,0.77987f,0.0f,0.62594163f
"Car 116", "Models/vehicles/car_red/car.obj",48.89999f,12.2f,-66.29946f,0.3f,0.0f,0.77987f,0.0f,0.62594163f
"Car 117", "Models/vehicles/car_silver/car.obj",24.150368f,12.2f,-62.749344f,0.3f,0.0f,-0.61958385f,0.0f,0.7849305f
"Car 118", "Models/vehicles/car_blue/car.obj",23.550377f,12.2f,-65.49941f,0.3f,0.0f,-0.61958385f,0.0f,0.7849305f
"Car 119", "Models/vehicles/car_yellow/car.obj",23.000385f,12.2f,-67.499535f,0.3f,0.0f,-0.61958385f,0.0f,0.7849305f
"Car 120", "Models/vehicles/car_red/car.obj",22.250397f,12.2f,-71.19976f,0.3f,0.0f,-0.61958385f,0.0f,0.7849305f
"Car 121", "Models/vehicles/car_blue/car.obj",22.0004f,12.2f,-73.09988f,0.3f,0.0f,-0.61958385f,0.0f,0.7849305f

# Trees
"Tree 1", "Models/objects/trees/tree_w_berm/tree_w_berm.obj",77.2f,12.9f,90.3f,0.19f,0.0000f,0.7380f,0.0000f,0.6748f
"Tree 2", "Models/objects/trees/tree_w_berm/tree_w_berm.obj",84.1f,13.5f,89.0f,0.19f,0.0000f,0.7380f,0.0000f,0.6748f
"Tree 3", "Models/objects/trees/tree_w_berm/tree_w_berm.obj",78.2f,13.5f,98.8f,0.19f,0.0000f,0.7380f,0.0000f,0.6748f
"Tree 4", "Models/objects/trees/tree_w_berm/tree_w_berm.obj",85.6f,13.5f,97.1f,0.19f,0.0000f,0.7380f,0.0000f,0.6748f
"Tree 5", "Models/objects/trees/tree1/tree1.obj",7.2f,8.7f,157.6f,0.30f,0.0000f,0.3067f,0.0000f,0.9518f
"Tree 6", "Models/objects/trees/tree1/tree1.obj",28.4f,9.2f,183.5f,0.30f,0.0000f,0.3067f,0.0000f,0.9518f
"Tree 7", "Models/objects/trees/tree1/tree1.obj",55.5f,9.5f,174.5f,0.30f,0.0000f,0.3067f,0.0000f,0.9518f
"Tree 8", "Models/objects/trees/tree1/tree1.obj",-40.0f,11.0f,71.5f,0.14f,0.0000f,0.3568f,0.0000f,0.9342f
"Tree 9", "Models/objects/trees/tree1/tree1.obj",10.0f,8.5f,160.0f,0.17f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 10", "Models/objects/trees/tree2/tree2.obj",33.7f,14.9f,-22.6f,0.38f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 11", "Models/objects/trees/tree2/tree2.obj",53.0f,14.1f,160.2f,0.38f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 12", "Models/objects/trees/tree2/tree2.obj",62.7f,14.1f,44.6f,0.38f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 13", "Models/objects/trees/tree2/tree2.obj",81.8f,14.3f,44.7f,0.46f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 14", "Models/objects/trees/tree2/tree2.obj",96.7f,14.9f,84.3f,0.46f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 15", "Models/objects/trees/tree2/tree2.obj",60.5f,14.0f,165.0f,0.33f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 16", "Models/objects/trees/tree2/tree2.obj",59.0f,14.0f,180.5f,0.33f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 17", "Models/objects/trees/pineTree/pineTree.obj",63.8f,14.4f,174.5f,0.63f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 18", "Models/objects/trees/pineTree/pineTree.obj",30.6f,14.4f,190.9f,0.63f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 19", "Models/objects/trees/pineTree/pineTree.obj",50.4f,15.2f,144.2f,0.63f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 20", "Models/objects/trees/pineTree/pineTree.obj",57.0f,15.1f,19.2f,0.37f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 21", "Models/objects/trees/pineTree/pineTree.obj",-7.4f,11.2f,19.6f,0.38f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 22", "Models/objects/trees/pineTree/pineTree.obj",62.892357f,15.451375f,-61.81623f,0.38f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 23", "Models/objects/trees/tree1/tree1.obj",48.58228f,13.451374f,-56.89865f,0.17f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 24", "Models/objects/trees/tree1/tree1.obj",16.833647f,13.451374f,-48.683327f,0.17f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 25", "Models/objects/trees/pineTree/pineTree.obj",9.394054f,13.451485f,-46.809696f,0.38f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 26", "Models/objects/trees/tree2/tree2.obj",2.9274583f,13.451485f,-45.13456f,0.33f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 27", "Models/objects/trees/tree1/tree1.obj",30.436161f,13.451437f,-14.662198f,0.17f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 28", "Models/objects/trees/tree1/tree1.obj",21.39861f,13.451438f,-13.0660095f,0.17f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 29", "Models/objects/trees/tree2/tree2.obj",14.356249f,13.451438f,-11.822203f,0.33f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 30", "Models/objects/trees/tree2/tree2.obj",4.3861866f,13.74509f,4.1969695f,0.33f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 31", "Models/objects/trees/pineTree/pineTree.obj",7.288539f,15.729433f,-1.104029f,0.38f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 32", "Models/objects/trees/pineTree/pineTree.obj",31.6f,15.7f,-62.8f,0.38f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 33", "Models/objects/trees/tree2/tree2.obj",39.0f,13.7f,-74.1f,0.33f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 34", "Models/objects/trees/tree1/tree1.obj",30.9f,13.7f,-69.2f,0.17f,0.0000f,0.0000f,0.0000f,0.0000f
"Tree 35", "Models/objects/trees/tree1/tree1.obj",40.7f,13.7f,-66.4f,0.17f,0.0000f,0.0000f,0.0000f,0.0000f

# Benches
"Bench 1", "Models/objects/bench/bench.obj",-32.8f,7.6f,101.3f,0.18f,0.0000f,-0.5892f,0.0000f,0.8080f
"Bench 2", "Models/objects/bench/bench.obj",-33.6f,7.6f,105.9f,0.18f,0.0000f,0.8828f,0.0000f,-0.4696f
"Bench 3", "Models/objects/bench/bench.obj",-37.8f,7.6f,109.2f,0.18f,0.0000f,0.9998f,0.0000f,0.0187f
"Bench 4", "Models/objects/bench/bench.obj",48.2f,9.7f,18.2f,0.18f,0.0000f,0.7638f,0.0000f,0.6455f
"Bench 5", "Models/objects/bench/bench.obj",47.7f,9.7f,21.5f,0.18f,0.0000f,-0.1811f,0.0000f,0.9835f
"Bench 6", "Models/objects/bench/bench.obj",44.5f,9.7f,20.3f,0.18f,0.0000f,-0.2190f,0.0000f,0.9757f
"Bench 7", "Models/objects/bench/bench.obj",-4.3f,9.7f,15.2f,0.18f,0.0000f,0.505f,0.0000f,0.8631f

# Buildings
"DMC", "Models/buildings/dmc/dmc.mesh.xml", 11f, 6.5f, 50f, 1.10f, 0f, -0.0699f, 0f, 0.9976f
"SSC", "Models/buildings/ssc/ssc.mesh.xml", -55f, 4.2f, 100f, 1.75f, 0f, 0.7726f, 0f, 0.6349f
"BTS", "Models/buildings/bts/bts.mesh.xml", 56f, -0.8f, 95f, 2.50f, 0f, -0.6372f, 0f, 0.7707f
"ENS", "Models/buildings/ens/ens.mesh.xml", 4f, 5.7f, 172f, 3.95f, 0f, 0.0799f, 0f, 0.9968f
"MIL", "Models/buildings/milner/milner.mesh.xml", 37f, 7.0f, 155f, 0.70f, 0f, 0.0762f, 0f, 0.9971f
"APP", "Models/buildings/apple/apple.mesh.xml", 77f, 9.0f, 123f, 6.10f, 0f, 0.9957f, 0f, -0.0925f
"LB", "Models/buildings/library/library.mesh.xml", 26f, 3.6f, 123f, 0.65f, 0f, -0.6910f, 0f, 0.7229f
"X", "Models/buildings/btsstairs/btsStairs.mesh.xml", 51f, -0.6f, 95.4f, 2.50f, 0f, -0.6372f, 0f, 0.7707f
"BRO", "Models/buildings/brock/brock.mesh.xml", 31f, 18.8f, -88f, 1.50f, 0f, 0.0810f, 0f, 0.9967f
"DFH", "Models/buildings/callan/callan.mesh.xml", -36f, 10.2f, 5f, 23f, 0f, -0.0853f, 0f, 0.9964f
"FH", "Models/buildings/founders/founders.mesh.xml", 92.1f, 16.5f, 187.0f, 1.03f, 0f, 0.0086f, 0f, 1f
"LAW", "Models/buildings/lawlorPrinty/lawlorPrinty.mesh.xml", 66f, 11.7f, 7f, 0.55f, 0f, 0.9956f, 0f, -0.0935f
"PR", "Models/buildings/lawlorPrinty/lawlorPrinty.mesh.xml", 32f, 11.7f, 4f, 0.55f, 0f, 0.1085f, 0f, 0.9941f
"MX", "Models/buildings/maddox/maddox.mesh.xml", 79f, 9.2f, 73f, 1.2f, 0f, 0.0810f, 0f, 0.9967f
"MCCH", "Models/buildings/mcchesney/mcchesney.mesh.xml", 10.0, 12f, -31.2f, 4.50f, 0f, 0.1118f, 0f, 0.9337f
"STCL", "Models/buildings/mcchesney/mcchesney.mesh.xml", -10.0, 12.4f, -68.0f, 4.50f, 0f, 0.1118f, 0f, 0.9337f
"TYL", "Models/buildings/tyler/tyler.obj", 53.1f, 7.9f, 194.9f, 3.7f, 0f, 0.7694f, 0f, 0.6388f
"PAT", "Models/buildings/patterson/patterson.obj", 111.1f, 10.5f, 147.8f, 2.48f, 0f, 0.0693f, 0f, 0.9976f
"WIL", "Models/buildings/willets/willets.obj", 61.0f, 9.4f, -32.0f, 0.81f, 0f, -0.6327f, 0f, 0.7744f
"WH", "Models/buildings/williams/williams.obj", 80.0f, 11.0f, 162.5f, 3.27f, 0f, 0.1005f, 0f, 0.9949f
"HRS", "Models/buildings/safety/safety.obj", 81.6f, 11.4f, 171.5f, 0.52f, 0f, 0.0984f, 0f, 0.9951f
"PHB", "Models/buildings/pharmacy/pharmacy.mesh.xml",-52f, 4.0f, 145f, 2f, 0f, -.4f, 0f, -0.2f
